id,name_ko,name_en,summary,category,severity_level
1,감기,Common Cold,상기도에 발생하는 흔한 바이러스성 감염으로 콧물과 기침이 주된 증상입니다.,호흡기,low
2,독감,Influenza,인플루엔자 바이러스 감염으로 고열과 근육통이 동반될 수 있습니다.,호흡기,medium
3,코로나19,COVID-19,코로나바이러스 감염으로 발열 기침 인후통 후각저하 등이 나타날 수 있습니다.,호흡기,medium
4,알레르기 비염,Allergic Rhinitis,알레르겐에 의해 재채기 콧물 코막힘이 반복되는 질환입니다.,알레르기,low
5,천식,Asthma,기도 염증과 과민반응으로 쌕쌕거림과 호흡곤란이 반복될 수 있습니다.,호흡기,medium
6,폐렴,Pneumonia,폐에 염증이 생기는 질환으로 기침 가래 발열 호흡곤란이 나타날 수 있습니다.,호흡기,high
7,위염,Gastritis,위 점막 염증으로 속쓰림 상복부 통증 구역감이 생길 수 있습니다.,소화기,low
8,위식도역류질환,GERD,위산 역류로 가슴쓰림과 신물 올라옴이 반복되는 질환입니다.,소화기,low
9,과민성장증후군,IBS,복통과 설사 또는 변비가 반복되는 기능성 장 질환입니다.,소화기,low
10,장염,Gastroenteritis,바이러스나 세균 등에 의해 설사 구토 복통이 발생하는 장관 염증입니다.,소화기,medium
11,편두통,Migraine,반복적인 박동성 두통과 메스꺼움 빛 민감성이 특징인 두통 질환입니다.,신경계,medium
12,긴장성 두통,Tension Headache,스트레스나 근육 긴장과 관련된 둔한 양상의 두통입니다.,신경계,low
13,방광염,Cystitis,방광에 염증이 생겨 배뇨통 빈뇨 절박뇨가 나타나는 질환입니다.,비뇨기,low
14,요로감염,Urinary Tract Infection,요로계 감염으로 배뇨통 빈뇨 발열 등이 나타날 수 있습니다.,비뇨기,medium
15,당뇨병,Diabetes Mellitus,혈당 조절 이상으로 다음 다뇨 피로감 체중변화 등이 생길 수 있습니다.,내분비,high
16,고혈압,Hypertension,지속적으로 혈압이 높은 상태로 무증상인 경우도 많습니다.,심혈관,medium
17,빈혈,Anemia,혈액의 산소 운반 능력이 감소하여 피로감 어지럼증이 생길 수 있습니다.,혈액,medium
18,결막염,Conjunctivitis,눈 결막의 염증으로 충혈 눈곱 가려움 이물감이 생길 수 있습니다.,안과,low
19,아토피 피부염,Atopic Dermatitis,만성적인 피부 염증으로 가려움과 건조함이 반복됩니다.,피부,low
20,대상포진,Herpes Zoster,수두 바이러스 재활성화로 통증성 발진이 띠 모양으로 나타나는 질환입니다.,피부,medium
