id,name_ko,name_en,body_part,description
1,발열,Fever,전신,체온 상승 또는 열이 나는 상태입니다.
2,기침,Cough,호흡기,기도 자극으로 인해 기침이 나는 증상입니다.
3,콧물,Runny Nose,코,맑거나 끈적한 분비물이 코에서 나오는 증상입니다.
4,인후통,Sore Throat,목,목이 따갑거나 아픈 증상입니다.
5,두통,Headache,머리,머리가 지끈거리거나 무겁게 아픈 증상입니다.
6,근육통,Myalgia,전신,근육이 쑤시거나 아픈 증상입니다.
7,호흡곤란,Shortness of Breath,가슴,숨이 차거나 답답한 증상입니다.
8,천명,Wheezing,가슴,숨 쉴 때 쌕쌕거리는 소리가 나는 증상입니다.
9,복통,Abdominal Pain,복부,배가 아프거나 불편한 증상입니다.
10,구토,Vomiting,소화기,토하거나 메스꺼움으로 음식물을 게워내는 증상입니다.
11,설사,Diarrhea,소화기,묽은 변을 자주 보는 증상입니다.
12,속쓰림,Heartburn,가슴/상복부,명치 부위가 타는 듯 불편한 증상입니다.
13,메스꺼움,Nausea,소화기,토할 것 같은 불쾌한 느낌입니다.
14,빈뇨,Frequent Urination,비뇨기,소변을 자주 보는 증상입니다.
15,배뇨통,Painful Urination,비뇨기,소변 볼 때 통증이나 화끈거림이 있는 증상입니다.
16,피로감,Fatigue,전신,쉽게 지치고 기운이 없는 증상입니다.
17,어지럼증,Dizziness,머리,빙글거리거나 휘청거리는 느낌이 드는 증상입니다.
18,눈충혈,Red Eyes,눈,눈이 붉게 충혈되는 증상입니다.
19,피부발진,Skin Rash,피부,붉은 반점이나 두드러기 등 피부 변화가 나타나는 증상입니다.
20,가려움,Itching,피부,피부나 눈 등이 간지러운 증상입니다.
